Country,Time,GDP (Current $),GDP Growth (Yrly %),GDP per Capita (Current $)
Guatemala,2021.0,86478835636.0,8.033267715,4913.947129
Guatemala,2022.0,95630524813.0,4.200155889,5358.089638
Guatemala,2023.0,104450000000.0,3.526792142,5762.821746
Honduras,2021.0,28144331507.0,12.56528438,2735.147515
Honduras,2022.0,31426041807.0,4.14356194,3003.289968
Honduras,2023.0,34400509852.0,3.582603626,3231.657245
Hungary,2021.0,182110000000.0,7.06122061,18755.10235
Hungary,2022.0,177006000000.0,4.583407673,18353.29836
Hungary,2023.0,212389000000.0,-0.907685956,22141.86698
Iceland,2021.0,25825287184.0,5.254209753,69325.90783
Iceland,2022.0,28770206627.0,8.992507613,75314.08556
Iceland,2023.0,31325116556.0,5.03717944,79636.95486
Indonesia,2021.0,1186510000000.0,3.702885628,4287.17314
Indonesia,2022.0,1319080000000.0,5.307419348,4730.745489
Indonesia,2023.0,1371170000000.0,5.048105771,4876.314327
Ireland,2021.0,531307000000.0,16.25561324,105561.1375
Ireland,2022.0,548570000000.0,8.619503552,106194.7559
Ireland,2023.0,551395000000.0,-5.530007361,103887.8004
Israel,2021.0,489708000000.0,9.343907746,52255.61591
Israel,2022.0,525000000000.0,6.470371502,54930.72616
Israel,2023.0,513611000000.0,2.42300691,52642.42675
Italy,2021.0,2179210000000.0,8.931062066,36852.54254
Italy,2022.0,2103000000000.0,4.661762651,35635.74422
Italy,2023.0,2300940000000.0,0.697632994,39003.3161
Japan,2021.0,5034620000000.0,2.559320239,40058.53733
Japan,2022.0,4256410000000.0,0.954736938,34017.27181
Japan,2023.0,4204490000000.0,1.679019523,33766.52683
Kazakhstan,2021.0,197112000000.0,4.299999997,9983.601036
Kazakhstan,2022.0,225496000000.0,3.2,11255.33964
Kazakhstan,2023.0,262642000000.0,5.1,12918.86613
Kenya,2021.0,109704000000.0,7.590489473,2061.356221
Kenya,2022.0,114449000000.0,4.859981043,2109.562885
Kenya,2023.0,108039000000.0,5.555873013,1952.304579
"Korea, Rep.",2021.0,1818430000000.0,4.304734819,35125.5225
"Korea, Rep.",2022.0,1673920000000.0,2.612672192,32394.68337
"Korea, Rep.",2023.0,1712790000000.0,1.356733243,33121.37129
Kosovo,2021.0,9413403724.0,10.74565608,5270.426702
Kosovo,2022.0,9354903062.0,4.278498958,5290.947472
Kosovo,2023.0,10468219225.0,4.067627014,5960.158205
Kyrgyz Republic,2021.0,9249133946.0,5.507007627,1349.997307
Kyrgyz Republic,2022.0,12134931018.0,8.9675052,1739.720308
Kyrgyz Republic,2023.0,13987627909.0,6.151391837,1970.15781
Latvia,2021.0,38185125733.0,6.947233162,20262.84339
Latvia,2022.0,38018905782.0,1.812682402,20229.46136
Latvia,2023.0,42247850065.0,1.70679525,22502.84299
Lebanon,2021.0,23131941557.0,-7.001238625,4045.373911
Lebanon,2022.0,20992421949.0,-0.621678971,3654.358455
Lebanon,2023.0,,,
Lesotho,2021.0,2412130057.0,2.26671067,1066.586451
Lesotho,2022.0,2354683089.0,2.387780202,1029.995533
Lesotho,2023.0,2117962451.0,1.826625259,916.2829793
Lithuania,2021.0,67037321009.0,6.380016762,23934.72849
Lithuania,2022.0,71033884500.0,2.537525009,25085.78406
Lithuania,2023.0,79789877416.0,0.342262552,27786.00578
Luxembourg,2021.0,85584105994.0,7.168401987,133711.7944
Luxembourg,2022.0,81641807866.0,1.380185891,125006.0218
Luxembourg,2023.0,85755006124.0,-1.095723616,128678.1899
Madagascar,2021.0,14554754117.0,5.739615739,490.2062386
Madagascar,2022.0,15134700203.0,3.999999999,497.2425148
Madagascar,2023.0,15790113247.0,3.8,506.1593687
Malawi,2021.0,12378129751.0,4.55829212,617.4475208
Malawi,2022.0,12429060151.0,0.921115069,604.2697512
