Country,Time,GDP (Current $),GDP Growth (Yrly %),GDP per Capita (Current $),Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,"Access to electricity, rural (% of rural population) ","Access to electricity, urban (% of urban population) ",Electric power consumption (kWh per capita) ,"Labor force, female (% of total labor force) ","Labor force, total ","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative) ","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) ",Fossil fuel energy consumption (% of total) ,Gross national expenditure (% of GDP) ,Interest payments (% of revenue) ,"Inflation, consumer prices (annual %) "
Belgium,2022,593439000000.0,4.233431834,50807.20471,100.0,100.0,100.0,100.0,7282.40331295413,46.8267617902964,5320795.0,37.4228248596191,88.3022537231445,90.955207824707,43.1228790283203,39.7613945007324,96.2443695068359,97.0625991821289,41.2547912597656,67.09,101.460685561862,3.31026343382765,9.597511728725
Belgium,2023,644783000000.0,1.251700632,54700.90932,,100.0,100.0,100.0,6756.77796580304,46.7787908614179,5367441.0,,,,,,,,,69.34,100.599627113335,,4.04901077613941
Bolivia,2021,40406111695.0,6.111372752,3384.844865,88.3,98.6,95.1,100.0,833.601399304369,45.7917932047678,6426918.0,16.2212467193604,58.4099998474121,69.5199966430664,27.6095085144043,27.1238498687744,64.0800018310547,75.1699981689453,16.356761932373,84.13,103.37070474402,,0.737383721452275
Bolivia,2022,44008282878.0,3.605680383,3643.92827,89.1,99.9,95.6,100.0,859.308409911805,45.9980896785561,6569575.0,16.194803237915,56.266300201416,66.4788360595703,30.0802001953125,28.9136924743652,69.5967788696289,81.6292343139648,17.5617389678955,84.84,102.532789066883,,1.74632872945969
Bolivia,2023,45135398009.0,3.081965241,3686.279965,,99.8,99.6,99.9,,46.0812854419781,6702504.0,17.4798278808594,57.3912811279297,67.7566680908203,,30.1847171783447,69.9913635253906,82.5701675415039,18.251895904541,,105.393759328364,,2.57688800489192
Bosnia and Herzegovina,2021,23672712242.0,7.38996234,7295.343824,40.9,100.0,100.0,100.0,3835.85723720279,41.781557149456,1370363.0,11.3161611557007,61.6673622131348,82.3170852661133,19.2820777893066,17.8988666534424,85.3159103393555,95.8196868896484,12.0636463165283,79.95,113.600640934544,1.51220444054424,1.98163900587622
Bosnia and Herzegovina,2022,24534663636.0,4.226811011,7655.59421,41.1,100.0,100.0,100.0,3772.15191453325,41.8930401136452,1355798.0,11.8900003433228,86.1900024414062,96.1999969482422,15.1499996185303,15.1300001144409,92.5999984741211,98.3000030517578,12.6700000762939,78.81,113.539033702049,1.47421825812242,14.0208440826771
Bosnia and Herzegovina,2023,27514782476.0,2.211124472,8638.666202,,100.0,100.0,100.0,,42.4571473743846,1366194.0,10.8658266067505,63.0877456665039,82.0562591552734,20.1759243011475,18.240665435791,86.7958679199219,96.2983932495117,11.6607990264893,,114.101310556985,2.01260988789197,6.1059011284828
Botswana,2021,18750946600.0,11.92063651,7808.20624,65.4,73.7,25.0,93.1,1455.7925845357,46.2925139863245,1036012.0,9.36865234375,69.9438781738281,72.5497207641602,29.1568965911865,30.3034534454346,90.0067291259766,88.1280517578125,8.30223751068115,66.27,102.195108664477,1.70232678290708,7.24097765588442
Botswana,2022,20321958850.0,5.486028178,8329.040322,66.0,75.9,25.0,95.5,1522.19852354121,46.6250638214801,1065472.0,9.25415325164795,69.2225341796875,70.92333984375,29.2117595672607,30.71120262146,89.7554168701172,89.1276550292969,9.74098491668701,66.7,95.256192210626,2.18057642885417,11.665567478802
Botswana,2023,19396084498.0,2.73379817,7820.232404,,76.0,25.0,97.7,,46.7765184777595,1146757.0,10.0491437911987,71.3804473876953,72.5911178588867,29.4269771575928,32.0718688964844,90.8038482666016,88.981689453125,9.29792785644531,,102.206982230167,,5.0676154934383
Brazil,2021,1670650000000.0,4.762604379,7972.53665,96.5,99.5,97.3,99.8,2723.96659104663,43.0075756040014,104085430.0,,67.4000015258789,64.9700012207031,,,86.5699996948242,85.4499969482422,,53.72,99.4374700132333,23.935768122229,8.30165975585673
Brazil,2022,1951920000000.0,3.016694354,9281.333344,96.5,100.0,97.3,100.0,2787.76089640442,43.4208190589127,106610573.0,,67.870002746582,65.0199966430664,,,86.4300003051758,85.120002746582,,51.04,99.5545359694656,25.8537229370519,9.28010608956873
Brazil,2023,2173670000000.0,2.908480487,10294.86668,,99.8,99.0,99.9,2916.48609397384,43.3245861425663,106356432.0,,69.9547119140625,67.5517501831055,,,86.1259841918945,84.0486679077148,,49.35,97.6333877496451,30.8390881041646,4.59356282283204
Bulgaria,2021,84417951261.0,7.780614814,12274.0776,,99.8,99.5,99.9,5261.46440772794,46.1755006342007,3252125.0,22.2995719909668,95.1631698608398,96.7388916015625,30.1665000915527,22.6712970733643,98.9873733520508,99.3213653564453,29.8617286682129,65.86,97.5160399961702,1.32799708932145,3.29774435299515
Bulgaria,2022,90642851836.0,4.038777583,13644.20158,,100.0,99.6,100.0,5387.96542212904,46.5604115763303,3217289.0,22.1036491394043,95.7140884399414,97.1052017211914,30.5550937652588,22.5017166137695,99.0603713989258,99.2939758300781,30.2848815917969,68.8,98.8859665999234,1.00199456087962,15.3252589264366
Bulgaria,2023,102408000000.0,1.886814839,15885.53913,,100.0,100.0,100.0,,46.7902525629092,3131695.0,,,,,,,,,,95.897488942343,1.33562637850456,9.44284140088564
