Country Name,Country Code,Time,Time Code,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990) [EN.GHG.CO2.ZG.AR5],Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e) [EN.GHG.CO2.MT.CE.AR5],Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita) [EN.GHG.CO2.PC.CE.AR5],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Forest area (sq. km) [AG.LND.FRST.K2]
Bermuda,BMU,2022,YR2022,31.64356436,0.3324,5.133670018,0.9,100,100,10
Bermuda,BMU,2023,YR2023,38.81188119,0.3505,5.417478129,..,..,..,..
Bhutan,BTN,2021,YR2021,932.1743929,1.8703,2.411914753,81.8,100,100,27270.6
Bhutan,BTN,2022,YR2022,963.3002208,1.9267,2.467237109,82.5,100,100,27290.4
Bhutan,BTN,2023,YR2023,996.4128035,1.9867,2.526370671,..,..,..,..
Bolivia,BOL,2021,YR2021,231.3890239,21.8107,1.827095773,12.8,95.1,100,506207.733
Bolivia,BOL,2022,YR2022,245.4691868,22.7374,1.882678651,..,95.6,100,504164.444
Bolivia,BOL,2023,YR2023,261.7190349,23.8069,1.944347505,..,..,..,..
Bosnia and Herzegovina,BIH,2021,YR2021,-6.544961767,22.9648,7.077182798,36.6,100,100,21879.1
Bosnia and Herzegovina,BIH,2022,YR2022,-7.570880353,22.7127,7.087083695,..,100,100,21879.1
Bosnia and Herzegovina,BIH,2023,YR2023,-10.48463564,21.9967,6.90618394,..,..,..,..
Botswana,BWA,2021,YR2021,133.6994261,6.5964,2.746850745,27.4,25,93.1,151364
Botswana,BWA,2022,YR2022,158.0138879,7.2827,2.984845231,..,25,95.5,150181
Botswana,BWA,2023,YR2023,163.0447106,7.4247,2.99353612,..,..,..,..
Brazil,BRA,2021,YR2021,123.0073889,505.9915,2.414654212,46.5,97.3,99.8,4953913.667
Brazil,BRA,2022,YR2022,111.0735606,478.9143,2.277221548,..,97.3,100,4941960.222
Brazil,BRA,2023,YR2023,111.3335493,479.5042,2.271017071,..,..,..,..
British Virgin Islands,VGB,2021,YR2021,288.5245902,0.0711,1.880504642,1.3,100,100,36.2
British Virgin Islands,VGB,2022,YR2022,290.1639344,0.0714,1.86330541,1.3,100,100,36.2
British Virgin Islands,VGB,2023,YR2023,311.4754098,0.0753,1.93151212,..,..,..,..
Brunei Darussalam,BRN,2021,YR2021,126.655814,9.7462,21.57570713,0,100,100,3800
Brunei Darussalam,BRN,2022,YR2022,119.7325581,9.4485,20.7490612,..,100,100,3800
Brunei Darussalam,BRN,2023,YR2023,125.955814,9.7161,21.17032611,..,..,..,..
Bulgaria,BGR,2021,YR2021,-42.80544445,45.7855,6.657053048,20.4,99.5,99.9,39060
Bulgaria,BGR,2022,YR2022,-37.45568517,50.0681,7.536603664,..,99.6,100,39190
Bulgaria,BGR,2023,YR2023,-50.29168468,39.7926,6.172652978,..,..,..,..
Burkina Faso,BFA,2021,YR2021,1718.020227,5.9322,0.269703772,71.2,..,67.6,61664
Burkina Faso,BFA,2022,YR2022,1782.899173,6.1439,0.27295258,71.4,3.4,60.5,61164
Burkina Faso,BFA,2023,YR2023,1738.584125,5.9993,0.260547136,..,..,..,..
Burundi,BDI,2021,YR2021,342.8143713,0.8874,0.068443276,83.1,1.6,62.8,2796.4
Burundi,BDI,2022,YR2022,318.9620758,0.8396,0.063027842,83,1.7,64,2796.4
Burundi,BDI,2023,YR2023,321.3073852,0.8443,0.061675232,..,..,..,..
Cabo Verde,CPV,2021,YR2021,1748.603352,0.9927,1.921420539,22.6,96.9,94.9,460.2
Cabo Verde,CPV,2022,YR2022,1831.284916,1.0371,1.995416948,21.8,96.9,95.3,463.2
Cabo Verde,CPV,2023,YR2023,1773.929236,1.0063,1.926556149,..,..,..,..
Cambodia,KHM,2021,YR2021,3780.985427,16.7775,0.988405711,52.4,77.1,98.9,79126.8
Cambodia,KHM,2022,YR2022,3914.457553,17.3545,1.008881435,..,88,99,77569.9
