Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Argentina,ARG,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,481930355597.948,488630635452.212,..,..
Argentina,ARG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-4.58348185931455,12.1908664715254,..,..
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,10181.068967686,9092.08560830429,..,..
Armenia,ARM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.2323718854572,2.4027779695253,..,..
Armenia,ARM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,10623316108.1698,11228790133.6548,..,..
Armenia,ARM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3185.99500551028,3561.77494444442,..,..
Armenia,ARM,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,9601951747.60688,10551045917.9277,..,..
Armenia,ARM,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.50780670178898,2.3751230316812,..,..
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3524.89087138158,3790.56480898451,..,..
Aruba,ABW,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
Aruba,ABW,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2394184991.053,2662868129.82011,..,..
Aruba,ABW,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
Aruba,ABW,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
Aruba,ABW,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,22415.9932500023,24724.8665721459,..,..
Australia,AUS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
Australia,AUS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1144038843407.43,1174103054110.46,..,..
Australia,AUS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
Australia,AUS,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
Australia,AUS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,48732.9249252793,45710.8904505974,..,..
Austria,AUT,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.890075263561258,3.6619812713661,..,..
Austria,AUT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,362927559224.193,387622418852.71,..,..
Austria,AUT,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,36036.8954728795,36093.5879205115,..,..
Austria,AUT,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,307984137846.017,323246846417.753,..,..
Austria,AUT,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.104650530785037,3.21133774775362,..,..
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,42465.7666055794,43281.7334797461,..,..
Azerbaijan,AZE,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
Azerbaijan,AZE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,57703409570.3564,40200481168.1358,..,..
Azerbaijan,AZE,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
Azerbaijan,AZE,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
Azerbaijan,AZE,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6051.69706201243,3965.42439576196,..,..
"Bahamas, The",BHS,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.46070825849378,13.1263171985092,..,..
"Bahamas, The",BHS,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,9881180749.59395,9868277248.65157,..,..
"Bahamas, The",BHS,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,26436.9549712698,23197.9078687881,..,..
"Bahamas, The",BHS,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,10106795011.6065,9195024335.67513,..,..
"Bahamas, The",BHS,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.56420587259414,12.9807613161175,..,..
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,25846.802100963,24896.4416058903,..,..
Bahrain,BHR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.68013805531486,..,..,..
Bahrain,BHR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,22816232556.9528,..,..,..
Bahrain,BHR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,17487.1745371564,..,..,..
Bahrain,BHR,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,22987975133.9134,..,..,..
Bahrain,BHR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-3.06685124803691,..,..,..
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,17356.5283014059,..,..,..
Bangladesh,BGD,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.13708727907358,7.4007980625622,..,..
Bangladesh,BGD,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,168853214206.68,430454772495.358,..,..
Bangladesh,BGD,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,1137.23703189474,1771.81143581888,..,..
Bangladesh,BGD,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,179643566999.423,297059874833.489,..,..
Bangladesh,BGD,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.19253351037969,6.52906224580971,..,..
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1068.92849745579,2567.44432056871,..,..
Barbados,BRB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
Barbados,BRB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3988496071.0643,4164575078.91452,..,..
Barbados,BRB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
Barbados,BRB,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
Barbados,BRB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,14329.1709337387,14760.3025334826,..,..
Belarus,BLR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.23054708942578,3.15488077965418,..,..
Belarus,BLR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,64649151124.5905,54066826262.9851,..,..
Belarus,BLR,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,5062.48491848639,5337.22483685929,..,..
Belarus,BLR,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,47832964689.5924,49649987708.9947,..,..
Belarus,BLR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.17259779032825,4.01279109826771,..,..
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6842.25522471949,5812.02174051461,..,..
Belgium,BEL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.57234198537017,5.9373383435168,..,..
Belgium,BEL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,443089887782.903,483642703341.618,..,..
Belgium,BEL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,33095.5826132596,34705.0647352722,..,..
Belgium,BEL,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,370970271960.235,402099647510.487,..,..
Belgium,BEL,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.12243199030335,5.50219428896685,..,..
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,39529.631063782,41743.0142804966,..,..
Belize,BLZ,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,4.79449998304079,13.4239851970872,..,..
Belize,BLZ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1628314625.09173,1929542245.60458,..,..
Belize,BLZ,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,4566.14066622125,4618.89596596544,..,..
Belize,BLZ,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1593231499.67992,1826062044.56057,..,..
Belize,BLZ,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,2.6032409606311,12.1231895677306,..,..
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4666.68756456791,4880.64188231215,..,..
Benin,BEN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,6.20178039527852,8.03965192256459,..,..
Benin,BEN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11865082942.314,15737769728.0295,..,..
Benin,BEN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,897.456651811736,1052.89848913512,..,..
Benin,BEN,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,9898950459.31006,14122966493.4393,..,..
Benin,BEN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,3.1094129029774,5.27492803132074,..,..
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1075.70975879193,1173.28565331485,..,..
Bermuda,BMU,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
Bermuda,BMU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..
Bermuda,BMU,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
Bermuda,BMU,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
Bermuda,BMU,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..
Bhutan,BTN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,8.10548080936645,0.388570681424284,..,..
Bhutan,BTN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1565354044.85903,2283956482.91253,..,..
Bhutan,BTN,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2071.44823287698,2594.0266236484,..,..
Bhutan,BTN,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,1518659486.0032,2011517193.09517,..,..
Bhutan,BTN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,6.94559474131322,-0.315172822569849,..,..
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2135.13950950506,2945.36081733067,..,..
Bolivia,BOL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.1354708147834,-0.861395882802,..,..
Bolivia,BOL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,25885822545.2938,31712478522.0832,..,..
Bolivia,BOL,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2452.20107437865,2512.77692094056,..,..
Bolivia,BOL,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,26603654809.4137,29995922704.959,..,..
Bolivia,BOL,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,1.55472207011185,-1.86679561549263,..,..
