Country,Time,Fossil fuel energy consumption (% of total),Electric power consumption (kWh per capita),Access to electricity (% of population),Gross national expenditure (% of GDP),Interest payments (% of revenue),GDP (Current $),GDP Growth (Yrly %),"Inflation, consumer prices (annual %)"
Czechia,2023,67.78,5987.64253672804,100.0,95.0054190052001,8.36459593427909,343208000000.0,-0.085330276,10.6612601372426
Denmark,2021,53.53,6160.08959261076,100.0,93.7631958881996,1.00067624992885,408378000000.0,7.38206629,1.8530454398968
Denmark,2022,54.36,5870.02927476145,100.0,90.4462114493322,1.64048292956573,401946000000.0,1.540173107,7.6965669988926
Denmark,2023,50.01,5929.08770745081,100.0,91.849280677718,1.20740375161758,407092000000.0,2.495184331,3.30517811237606
Dominican Republic,2021,88.12,1714.48205578904,98.1,109.229462908226,18.9576345146679,94243425938.0,12.27199023,8.24300347981809
Dominican Republic,2022,89.36,1716.80675546229,98.1,110.106062478081,17.7800326047216,113537000000.0,4.858324036,8.81109209279587
Dominican Republic,2023,61.68,5181.132741949345,99.6,107.337819927212,2.0567473761441653,121444000000.0,2.360615687,4.78561281021135
El Salvador,2021,51.37,1070.6894837448,97.9,124.28211963307,11.074827718446,29043140000.0,11.9047617,3.46692585313082
El Salvador,2022,55.46,1109.9754646221,100.0,124.824626777022,11.182101706662,31988920000.0,2.799552169,7.19861615609867
El Salvador,2023,55.64,917.682994355652,98.3,118.67045198647,13.0279080903743,34015620000.0,3.510977066,4.04554694222477
Estonia,2021,65.31,6644.21623343642,100.0,100.61480647401,0.193777037421066,37204563051.0,7.154447483,4.65316673847473
Estonia,2022,69.95,6464.07283295276,100.0,100.466270365303,0.298587881373055,38376046175.0,0.060427832,19.3982634080616
Estonia,2023,60.93,5749.16477290142,100.0,101.838703520239,0.954794520547945,41291245222.0,-3.023035841,9.15922507983982
Fiji,2021,89.99000000000001,2955.5365363178053,92.1,127.218552180626,17.1738754944798,4305031631.0,-4.881036056,0.155855722131516
Fiji,2022,89.99000000000001,2955.5365363178053,92.0,121.369134299383,17.1372744769299,4969503561.0,19.79272669,4.52019266394958
Fiji,2023,89.99000000000001,2955.5365363178053,99.3,105.88923033413471,16.8323588300452,5442046565.0,7.524290882,2.14817440623896
Finland,2021,36.31,15646.5861772306,100.0,99.9344760495892,1.22108861706105,294223000000.0,2.734713486,2.19457432340007
Finland,2022,35.74,14749.7185978813,100.0,102.333122905112,1.30450765516488,280242000000.0,1.450048073,7.12350773301402
Finland,2023,32.66,14352.4852025758,100.0,100.289770232694,2.08793277541031,295532000000.0,-1.163962815,6.25064322154763
France,2021,47.34,6942.44523564921,100.0,101.212382764451,3.07667323376769,2966430000000.0,6.882337866,1.64233141038385
France,2022,49.71,6677.39513463708,100.0,102.782805830307,4.1510830155335,2796300000000.0,2.570840474,5.22236748369735
France,2023,46.47,6456.64409937944,100.0,101.999493632245,3.77583730635875,3051830000000.0,0.936487503,4.87835726508441
Georgia,2021,75.86,3604.85464904641,100.0,116.252415848758,5.18531948509415,18853115589.0,10.64423366,9.56691433824769
Georgia,2022,78.88,3682.96097887624,100.0,109.737760225089,3.8975768505699,24984568960.0,10.95853214,11.8981654203198
Georgia,2023,86.685,3782.66750285223,100.0,108.617059533248,5.24102402355044,30777833585.0,7.832201215,2.48776056578715
Germany,2021,77.03,6582.54587433797,100.0,94.8414507433781,0.976158361457174,4348300000000.0,3.669999862,3.06666666666673
Germany,2022,78.47,6285.24659632329,100.0,97.5030919230623,1.47665269641737,4163600000000.0,1.369731055,6.87257438551097
Germany,2023,77.6,6045.29298751201,100.0,95.9944093368852,1.115783326335877,4525700000000.0,-0.26643841,5.94643667725823
Greece,2021,81.81,4997.1582541623,100.0,107.491838597389,5.64754145062959,218304000000.0,8.654497853,1.22382501019854
Greece,2022,81.71,4827.78285698736,100.0,109.639438339911,5.43904586568478,218881000000.0,5.74364919,9.64525981280632
Greece,2023,79.08,4534.19835572963,100.0,104.739772806189,7.46163429686217,243498000000.0,2.332123883,3.46480128513405
Guatemala,2021,35.64,784.094234500942,97.9,113.998060791921,13.4309783450153,86478835636.0,8.033267715,4.26105127422813
Guatemala,2022,34.57,669.883594558613,99.1,116.537510708073,12.6698683066773,95630524813.0,4.200155889,6.88512823344287
Guatemala,2023,20.285,187.2544861520405,100.0,115.065464747778,12.5579875198037,104450000000.0,3.526792142,6.20657592272126
Honduras,2021,53.21,780.475801605792,94.1,124.641846740067,5.559181082835625,28144331507.0,12.56528438,4.48087963413445
Honduras,2022,54.72,757.081126374635,94.4,127.820135333071,8.09796222082154,31426041807.0,4.14356194,9.08963911525025
Honduras,2023,55.64,917.682994355652,95.6,123.932316935702,7.14165819079444,34400509852.0,3.582603626,6.66325180347457
Hungary,2021,67.9,4719.10549768272,100.0,99.8059975643138,6.06394341980823,182110000000.0,7.06122061,5.11096534382855
Hungary,2022,66.04,4680.96591412799,100.0,104.440373724147,7.13723096058085,177006000000.0,4.583407673,14.6081439492433
Hungary,2023,64.22,4601.66222798432,100.0,94.8878644394882,3.451474870922085,212389000000.0,-0.907685956,17.1249659678737
Iceland,2021,11.11,51135.5095028455,100.0,101.728096355834,12.3594773915544,25825287184.0,5.254209753,4.44423970189739
Iceland,2022,11.69,51258.7597479601,100.0,100.139350030153,16.3468153902564,28770206627.0,8.992507613,8.3087551155892
Iceland,2023,10.33,50082.7509412761,100.0,99.5073082744008,14.9405161504285,31325116556.0,5.03717944,8.73630299937298
Indonesia,2021,75.94,1028.37477325366,99.2,96.324627286146,1.46024464029068,1186510000000.0,3.702885628,1.56012990525673
Indonesia,2022,77.18,1257.23679274733,100.0,90.4753313272083,8.540673277570189,1319080000000.0,5.307419348,4.20946383402165
Indonesia,2023,82.91,1953.9881933565398,99.4,92.3883560368781,8.540673277570189,1371170000000.0,5.048105771,3.67013142377007
Ireland,2021,86.58,6167.09489299375,100.0,58.3804319620943,3.41260597010586,531307000000.0,16.25561324,2.34034113447044
Ireland,2022,85.84,6125.9848616838,100.0,58.1563959550143,2.9595615709144,548570000000.0,8.619503552,7.82945736434105
Ireland,2023,82.36,6057.7285402065,100.0,66.7216734986914,2.10748493106449,551395000000.0,-5.530007361,6.29942487419125
Israel,2021,97.42,6809.86832276928,100.0,96.9987396334208,8.17542767848765,489708000000.0,9.343907746,1.51020047690539
Israel,2022,97.3,6842.79361757782,100.0,97.5607384359967,9.7586771351396,525000000000.0,6.470371502,4.39359665912654
Israel,2023,96.52,6622.90142057684,100.0,96.3201649301763,9.12834901707753,513611000000.0,2.42300691,4.22535211267609
Italy,2021,78.28,5290.22854904133,100.0,97.9587653216481,8.44362371964955,2179210000000.0,8.931062066,1.87378325762481
Italy,2022,78.73,5215.69012140866,100.0,101.819148787547,10.1440708273473,2103000000000.0,4.661762651,8.20128991161718
Italy,2023,76.77,5049.79576131089,100.0,98.780639899955,8.9438207443549,2300940000000.0,0.697632994,5.62219442195901
Japan,2021,86.74,7959.55856479318,100.0,100.520530016573,1.115783326335877,5034620000000.0,2.559320239,-0.233352779398264
Japan,2022,87.31,7803.26941727044,100.0,103.760303771542,1.115783326335877,4256410000000.0,0.954736938,2.49770278172255
Japan,2023,84.82,7044.258006796865,100.0,101.546231797474,1.366030493815975,4204490000000.0,1.679019523,3.26813365933163
Kazakhstan,2021,98.46,5321.52110230336,100.0,89.444065655368,8.89201718246527,197112000000.0,4.299999997,8.04147134028396
Kazakhstan,2022,98.15,5271.52788457214,100.0,84.9123094342143,7.06990907348092,225496000000.0,3.2,15.0278644440851
Kazakhstan,2023,67.59,4993.437722913815,100.0,92.1429027616659,8.9577841399038,262642000000.0,5.1,14.7249900200331
Kenya,2021,20.8,184.426039295693,76.5,108.034254703865,23.4089223789498,109704000000.0,7.590489473,6.10793603659176
Kenya,2022,20.2,189.355465367737,76.0,106.955210523749,21.7935192162773,114449000000.0,4.859981043,7.65986268272224
Kenya,2023,19.77,190.082933008388,76.2,105.221325894316,24.2772783373307,108039000000.0,5.555873013,7.67139634029402
"Korea, Rep.",2021,82.19,11397.3392731969,100.0,96.4449931100325,3.32515319325515,1818430000000.0,4.304734819,2.49833333333339
"Korea, Rep.",2022,79.89,11492.9257726667,100.0,100.029346269746,3.5979328479696,1673920000000.0,2.612672192,5.08951365062842
"Korea, Rep.",2023,79.05,11307.6655429113,100.0,99.9553867153918,4.50681533589999,1712790000000.0,1.356733243,3.5974562502901
Kosovo,2021,66.105,1701.26803929628,100.0,131.820065029923,1.82752994436737,9413403724.0,10.74565608,3.35369139207997
Kosovo,2022,66.105,1701.26803929628,100.0,132.76072883082,1.82752994436737,9354903062.0,4.278498958,11.5805104542012
Kosovo,2023,35.405,768.1797950515686,100.0,130.670913744709,2.57501712436791,10468219225.0,4.067627014,4.94432438791283
Kyrgyz Republic,2021,70.29,1975.4134443714,99.7,128.650197105643,2.39965159752016,9249133946.0,5.507007627,11.9050398185147
Kyrgyz Republic,2022,72.86,1971.4074947749,99.7,141.112174387207,2.39381925333642,12134931018.0,8.9675052,13.9229093174176
Kyrgyz Republic,2023,80.08,3636.35434593532,100.0,136.26249777443,2.34718616530786,13987627909.0,6.151391837,10.7532770416742
Latvia,2021,53.05,3838.17372339466,100.0,103.173911966127,1.5796707838096,38185125733.0,6.947233162,3.27582937431156
Latvia,2022,49.12,3696.42590147937,100.0,104.887793081122,1.46087445502,38018905782.0,1.812682402,17.3102830198815
Latvia,2023,47.81,3628.86795618513,100.0,103.739293968085,1.8642216713619,42247850065.0,1.70679525,8.93804623316637
Lebanon,2021,93.89,1750.05010386277,100.0,126.777364785407,13.5908223351618,23131941557.0,-7.001238625,154.756096023393
Lebanon,2022,89.18,680.652360897549,100.0,145.23072047131,1.717992360034375,20992421949.0,-0.621678971,171.205491336641
Lebanon,2023,91.535,1215.3512323801594,100.0,116.321094494629,9.41592317935612,1772571157.5,7.7645664805,221.341644023365
Lesotho,2021,89.99000000000001,2955.5365363178053,50.4,146.894300664057,2.40864972193986,2412130057.0,2.26671067,6.04774591950676
Lesotho,2022,89.99000000000001,2955.5365363178053,50.0,149.361382150055,3.3475027835483,2354683089.0,2.387780202,8.27180389943028
Lesotho,2023,89.99000000000001,2955.5365363178053,57.3,155.668972562938,2.30145553738144,2117962451.0,1.826625259,6.34221743124953
Lithuania,2021,62.69,4711.44539189864,100.0,95.5468488855844,1.39381523157208,67037321009.0,6.380016762,4.68354420903453
Lithuania,2022,61.9,4416.1702815931,100.0,102.091913562406,0.981559371523915,71033884500.0,2.537525009,19.7050461518394
Lithuania,2023,61.44,4202.90536411076,100.0,96.096192807879,1.41140781851233,79789877416.0,0.342262552,9.11731962390475
Luxembourg,2021,74.02,12151.9098090191,100.0,66.6958408178123,0.347271725687034,85584105994.0,7.168401987,2.52692009066166
Luxembourg,2022,71.34,11629.0998510189,100.0,65.957257284371,0.345779771187577,81641807866.0,1.380185891,6.33600807777919
Luxembourg,2023,70.39,11168.4648050058,100.0,69.1594570958868,0.594591293297237,85755006124.0,-1.095723616,3.74140361983136
Madagascar,2021,13.7,80.2934672339167,35.1,108.908471010005,5.41362524812497,14554754117.0,5.739615739,5.81225118787715
Madagascar,2022,13.97,81.3148068743768,36.1,108.098948297841,4.8156264476304,15134700203.0,3.999999999,8.16059031991844
Madagascar,2023,67.44,1554.945505326706,39.4,107.043934441021,3.3395520374302503,15790113247.0,3.8,9.87432675044888
Malawi,2021,80.9,2152.8111981032,14.2,123.838159484279,24.7721619492629,12378129751.0,4.55829212,9.33014410835212
Malawi,2022,80.9,2152.8111981032,14.0,123.838159484279,29.9238225072927,12429060151.0,0.921115069,20.953969729969
Malawi,2023,80.9,2152.8111981032,15.6,123.838159484279,4.642823265326825,12712150082.0,1.892457988,28.7897428247298
Malaysia,2021,95.82,4860.27830199398,100.0,92.7698835274889,16.2860332189783,373785000000.0,3.315349544,2.47710241465447
Malaysia,2022,96.01,4986.12312555985,100.0,92.8050409934553,14.020107638443,407606000000.0,8.861821876,3.37869862549928
Malaysia,2023,60.28,3377.354766623612,100.0,94.9005053250616,14.7101686251226,399705000000.0,3.555487154,2.48886560125754
Maldives,2021,89.99000000000001,2955.5365363178053,100.0,90.4093263688864,9.73153770268114,5252457370.0,37.50787012,0.543149688737013
Maldives,2022,16.695,176.69034321965,100.0,96.9017192367979,9.04388356062989,6177118114.0,13.82608952,2.33314337624567
Maldives,2023,16.695,176.69034321965,100.0,101.268205785178,9.04388356062989,6590894302.0,4.72639189,2.92746542425035
Malta,2021,88.08,4936.97641050959,100.0,83.4546504893242,3.18007304054687,19718565605.0,13.4603052,1.49789217934724
Malta,2022,87.17,5170.16581030308,100.0,86.5265691299489,2.85195836757053,19209979975.0,4.147882816,6.15375621933037
Malta,2023,86.92,2792.95367053278,100.0,81.9227904037924,3.38642939364714,22328640242.0,7.498512459,5.09396758978883
Mauritius,2021,87.3,2211.89670339737,99.6,110.1276714835,9.46200697224062,11484348858.0,3.403798662,4.02852888157383
Mauritius,2022,88.94,2334.2149014315,100.0,106.564144581351,8.03023823943907,12927979286.0,8.879885197,10.7737512242899
Mauritius,2023,47.485,1168.0195070371283,100.0,103.961581917495,9.78887697988304,14644524819.0,6.958287403,7.05298238454735
Mexico,2021,88.64,2650.73959396575,100.0,101.437966653449,15.8259382639258,1316570000000.0,6.048483443,5.68920847683753
Mexico,2022,87.94,2351.59528868272,100.0,104.68204899422,17.1966048280522,1464310000000.0,3.689111093,7.8962761916855
Mexico,2023,88.66,2412.61431663365,99.7,105.975650223597,18.5493152744806,1789110000000.0,3.199981166,5.52796087314389
Moldova,2021,83.5,2401.17820687115,100.0,127.173311114547,2.64945699607183,13691869264.0,13.92999979,5.10641129002836
Moldova,2022,81.27,2255.74554684034,100.0,128.2529785956,3.11978149500439,14510490660.0,-5.015482319,28.7372976766236
Moldova,2023,67.285,1614.007566627956,100.0,124.054802871834,5.61592322277894,16539436547.0,0.78324271,13.41701043813
Mongolia,2021,95.03,2427.49075653249,100.0,104.63434450674,6.16819515777145,15286441738.0,1.636769577,7.35281243380219
Mongolia,2022,94.72,2545.61487913499,100.0,108.110968813531,3.4356657569967597,17146471714.0,5.032709637,15.1479560897226
Mongolia,2023,77.39,3229.5874670254,100.0,91.4290175988193,1.717992360034375,20325121394.0,7.422112762,10.3475831314339
Morocco,2021,90.26,950.467605491107,100.0,109.251247294493,8.7322327235262,142022000000.0,8.154738898,1.40195883962006
Morocco,2022,90.12,978.27258674367,100.0,111.508780526666,7.96111730498483,130952000000.0,1.52720358,6.65704202759067
Morocco,2023,74.86500000000001,2763.8085271657383,100.0,108.287240716216,8.01285790687035,144417000000.0,3.403341301,6.09114152504141
Nepal,2021,28.01,306.293365125237,89.9,128.790750321404,3.85657960803328,36924841394.0,4.838149614,4.14968003360264
Nepal,2022,26.47,321.045264151601,91.3,131.060136194842,1.1051014058812625,41182939601.0,5.631314559,7.6507917679853
Nepal,2023,17.785,202.64767724478315,94.0,124.251019385784,9.55409350635954,40908073367.0,1.952544633,7.11475951738199
Netherlands,2021,86.2,6704.42622513238,100.0,90.2548370814873,1.37852571431798,1054470000000.0,6.276830732,2.67572008805385
Netherlands,2022,83.92,6365.46605154448,100.0,91.2202410899358,1.31007374266336,1046540000000.0,5.00723459,10.0012078753473
Netherlands,2023,83.52,6198.03517535853,100.0,88.8312933976147,1.66508098936678,1154360000000.0,0.074560722,3.83839354342808
New Zealand,2021,58.39,8160.1549507953,100.0,103.875048103468,2.7790937589294,253644000000.0,4.546247639,3.94112060778728
New Zealand,2022,54.94,8099.15578832174,100.0,105.05185741011,3.16844434778101,246734000000.0,2.774842648,7.17222476016441
New Zealand,2023,55.44,7941.26093699144,100.0,102.869102960908,2.0172510250719897,252176000000.0,0.733302172,5.73316283034957
Nicaragua,2021,41.18,618.233276511455,86.3,113.460552686542,5.89676136916424,14144060853.0,10.31609128,4.92841396948968
Nicaragua,2022,39.85,682.400254120922,86.5,115.645377615415,5.42369578364592,15649897117.0,3.752284757,10.4674244465991
Nicaragua,2023,75.47,2527.75735182592,88.3,113.270988336478,6.92450959326027,17829218219.0,4.569223171,8.38765854872536
Nigeria,2021,55.75,142.790930090716,59.5,109.64046143819749,8.84499058780984,440834000000.0,3.647186541,16.9528457221608
Nigeria,2022,55.72,135.603309430584,60.5,99.9303169318894,1.87416990490579,477403000000.0,3.251681408,18.8471877843274
Nigeria,2023,85.53999999999999,2733.033274795182,61.2,98.79454507270395,7.53669794881819,363846000000.0,2.860214991,24.6595502031139
North Macedonia,2021,78.0,3793.4499437705,100.0,115.83354468123,4.21080976112559,14000283827.0,4.51067949,3.23074912132919
North Macedonia,2022,82.16,3479.25874810014,100.0,120.576435759064,6.099760702246241,13932436550.0,2.758884153,14.2047173195833
North Macedonia,2023,67.44,1554.945505326706,100.0,113.036179366243,3.3395520374302503,15763621848.0,2.072749779,9.36187249769016
Norway,2021,50.61,24650.1686290752,100.0,85.1501099346868,0.391633770502513,503368000000.0,3.908686777,3.48388055266678
Norway,2022,46.54,23373.4710590389,100.0,71.6850525297861,0.457014512720826,593727000000.0,3.005635161,5.76412317852272
Norway,2023,46.29,23520.0270164798,100.0,85.2689944406515,1.03385527254985,485311000000.0,0.479647246,5.51784987104659
Pakistan,2021,65.49,570.098770866866,94.9,108.927222425943,8.36459593427909,348517000000.0,6.513885759,9.49621056124947
Pakistan,2022,63.94,605.788247596384,95.0,111.950173683923,8.77072075509644,374890000000.0,4.778106869,19.8738599646655
Pakistan,2023,67.22,5113.8604263304005,95.6,107.640439232144,2.940670751956765,337912000000.0,-0.039692523,30.7681280657005
Papua New Guinea,2021,44.995,27409.23524086087,20.9,105.7329282904615,16.2269053209577,26109413522.0,-0.511353444,4.48359014042398
Papua New Guinea,2022,55.09,933.5282954983675,19.0,126.32238105504649,13.8767385123088,31647277767.0,5.707584118,5.25323922215241
