Country,Time,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Electric power consumption (kWh per capita),"Labor force, female (% of total labor force)","Labor force, total","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
Canada,2023,100.0,100.0,100.0,100.0,14148.3211494028,47.3398738770956,22197237.0,31.2949733734131,96.0787582397461,96.529296875,69.2165908813477,66.8202056884766,96.0787582397461,96.529296875,34.4267082214355
Chile,2021,100.0,100.0,100.0,100.0,4306.7208858565,40.920646423243,9171143.0,20.3219699859619,85.0017929077148,88.0690612792969,27.8540439605713,28.0212020874023,90.967399597168,92.8306655883789,18.9309692382812
Chile,2022,100.0,100.0,100.0,100.0,4422.38228375379,42.0657679545945,9670728.0,21.0626277923584,83.1999969482422,86.1100006103516,28.1240940093994,28.6751441955566,89.7600021362305,91.4800033569336,19.5457077026367
Chile,2023,72.3,100.0,100.0,100.0,4240.07831593276,42.7080676987401,9991796.0,22.1902008056641,85.9587631225586,88.4657974243164,30.2899608612061,29.9828987121582,91.4278717041016,93.0600357055664,20.9349632263184
China,2021,85.9,100.0,100.0,100.0,5847.80226004701,45.114320356218,781187865.0,35.0832862854004,96.0371398925781,95.69854736328125,50.4369297027588,46.48879241943355,98.22519302368164,98.084342956543,37.563419342041
China,2022,87.8,100.0,100.0,100.0,6112.13553560996,45.0507108837416,770113477.0,35.0832862854004,96.0371398925781,95.69854736328125,50.4369297027588,46.48879241943355,98.22519302368164,98.084342956543,37.563419342041
China,2023,86.85,100.0,100.0,100.0,5979.968897828485,45.0819446527757,774607590.0,35.0832862854004,96.0371398925781,95.69854736328125,50.4369297027588,46.48879241943355,98.22519302368164,98.084342956543,37.563419342041
Colombia,2021,93.1,100.0,100.0,100.0,1569.1710661367,41.0345266672094,25915910.0,20.69229888916015,59.2900009155273,56.6599998474121,27.98906898498535,28.34817314147945,81.7099990844727,80.3499984741211,19.23833847045895
Colombia,2022,93.6,100.0,100.0,100.0,1548.65063830136,41.1994721378583,25830229.0,15.8202447891235,61.2900009155273,58.8600006103516,28.1619262695312,24.6931610107422,82.3499984741211,80.8499984741211,16.5422592163086
Colombia,2023,68.5,98.7,94.8,100.0,2715.188536430423,41.5531535933636,26490194.0,15.9245853424072,62.1794776916504,59.7525825500488,28.6159324645996,25.2227935791016,82.8813934326172,81.5824127197266,16.9652328491211
"Congo, Dem. Rep.",2021,4.3,20.8,1.0,43.8,133.667602188594,48.1367974074203,35154175.0,22.710737228393548,80.41400527954104,79.10364341735834,39.2819786071777,30.3893747329712,96.14031219482419,95.62964248657225,29.980331420898402
"Congo, Dem. Rep.",2022,4.3,21.5,1.0,45.3,130.667931495784,48.3032581586622,36183996.0,16.1005449295044,60.21364784240725,63.9579849243164,24.05582904815675,24.14102268218995,90.85228729248044,91.55692672729495,17.81696224212645
"Congo, Dem. Rep.",2023,82.2,22.1,1.0,55.6,5073.923909769635,48.4121572363674,37296766.0,16.1005449295044,70.7091979980469,80.138427734375,24.05582904815675,24.14102268218995,98.0966758728027,99.34882736206055,17.81696224212645
Costa Rica,2021,96.2,100.0,100.0,99.8,2111.26982909841,41.4550240016251,2490873.0,16.1005449295044,50.189998626709,48.0800018310547,24.05582904815675,24.14102268218995,83.75,83.7600021362305,17.81696224212645
Costa Rica,2022,96.4,100.0,100.0,100.0,2125.2458545407,41.6819368958279,2504874.0,11.818356990814225,51.2799987792969,48.7799987792969,19.9728775024414,17.1105937957764,83.7799987792969,84.0199966430664,11.921278476715095
Costa Rica,2023,72.5,100.0,100.0,100.0,2067.75992674603,39.5460198659567,2340587.0,32.4850654602051,52.1040725708008,52.9080810546875,20.8385334014893,18.2981643676758,85.8396224975586,86.4324188232422,35.311605453491204
Cote d'Ivoire,2021,40.3,71.1,45.2,94.9,308.099910201629,42.7302232194757,11440310.0,6.69000005722046,20.0100002288818,32.6800003051758,6.76000022888184,12.3900003433228,25.7800006866455,38.9900016784668,3.07999992370605
Cote d'Ivoire,2022,42.6,72.0,45.3,95.0,323.704535370651,42.950064628661,11882499.0,6.70274448394775,17.9306621551514,33.9326934814453,4.91649055480957,10.1925811767578,36.8502960205078,53.1010208129883,3.06490612030029
Cote d'Ivoire,2023,54.6,72.4,48.0,93.9,7916.00260756483,43.0860814631414,12216126.0,30.45497608184815,68.02253150939944,70.24092292785645,21.54980850219725,18.74494981765745,95.70024871826169,95.79863739013675,30.487122535705602
Croatia,2021,100.0,100.0,100.0,100.0,4506.59593331341,46.0777956544586,1724158.0,16.9339694976807,93.0956039428711,97.1693420410156,24.4859180450439,21.0686283111572,98.8520202636719,99.5971450805664,20.7776508331299
Croatia,2022,100.0,100.0,100.0,100.0,4475.52041281852,46.6235086140876,1740579.0,16.84619140625,93.5088195800781,97.4888687133789,24.6147575378418,20.6884708404541,99.0373687744141,99.5650177001953,21.03955078125
Croatia,2023,72.5,100.0,100.0,100.0,8706.68710837352,47.1955355395009,1731721.0,32.4850654602051,92.32552719116211,93.7608871459961,38.1617431640625,36.09045124053955,98.2858428955078,98.67112731933595,35.311605453491204
Cyprus,2021,100.0,100.0,100.0,100.0,3716.66784330783,44.6115472185408,735675.0,32.0868949890137,82.9875640869141,86.3962631225586,45.0436592102051,40.224536895752,96.096794128418,97.9654235839844,31.5051383972168
Cyprus,2022,100.0,100.0,100.0,100.0,3848.66716239663,45.1110155759119,755975.0,33.120246887207,84.1147155761719,87.7553024291992,45.5157012939453,41.2710800170898,96.4546127319336,98.4479675292969,33.2054138183594
Cyprus,2023,51.9,100.0,100.0,100.0,25596.3632029491,45.8560199111408,766606.0,5.81373929977417,38.2258062362671,40.68674278259275,13.784299135208125,15.232646703720091,61.66516304016115,64.6327133178711,4.583794116973875
Czechia,2021,100.0,100.0,100.0,100.0,6690.60779160256,44.2875704230524,5242069.0,22.1672801971436,99.86962890625,99.8209838867188,60.0756683349609,53.9228401184082,99.8981781005859,99.8424377441406,23.4922466278076
Czechia,2022,100.0,100.0,100.0,100.0,6362.84194009099,44.5102091513833,5369986.0,20.9231128692627,98.9953002929688,99.3919219970703,23.555025100708,22.094482421875,99.0271682739258,99.4170913696289,21.0210075378418
Czechia,2023,72.3,100.0,100.0,100.0,5987.64253672804,44.961420801193,5536144.0,12.998526573181149,44.5427083969116,53.63329124450685,17.621643304824804,17.4349846839905,60.206071853637695,71.8872947692871,11.811809778213505
Denmark,2021,100.0,100.0,100.0,100.0,6160.08959261076,46.926476353051,3079023.0,28.028263092041,90.3643493652344,92.3938293457031,40.9418563842773,33.0449676513672,98.4768218994141,99.3467864990234,36.720703125
Denmark,2022,100.0,100.0,100.0,100.0,5870.02927476145,47.422413469915,3147518.0,27.4220237731934,90.9987258911133,92.4892196655273,42.1445960998535,32.6030693054199,98.5132064819336,99.3477935791016,37.8423385620117
Denmark,2023,86.75,100.0,100.0,100.0,5929.08770745081,47.4749172110428,3189737.0,12.50040435791015,77.54509735107425,80.1345138549805,20.08851623535155,19.91672039031985,89.7884635925293,92.2619438171387,13.4618191719055
Dominican Republic,2021,92.4,98.1,94.8,98.8,1714.48205578904,40.977308174364,5099149.0,9.1821174621582,67.5100021362305,64.2300033569336,16.3688220977783,9.32167625427246,74.7699966430664,73.6900024414062,16.2368927001953
Dominican Republic,2022,92.8,98.1,94.5,98.8,1716.80675546229,40.4954283080281,5169749.0,13.0046367645264,67.0899963378906,64.7300033569336,21.8664379119873,13.0046367645264,74.9400024414062,73.5800018310547,21.7484226226807
Dominican Republic,2023,100.0,99.6,98.2,100.0,5181.132741949345,41.4195355812785,5323558.0,14.1213474273682,62.3327674865723,58.6597557067871,22.8200836181641,23.89823055267335,68.7390213012695,66.1941833496094,22.7450523376465
El Salvador,2021,92.9,97.9,94.1,99.2,1070.6894837448,41.1724379863454,2739437.0,29.499432563781752,44.5499992370605,50.5800018310547,22.445556640625,24.9879684448242,59.3699989318848,66.1100006103516,36.7264461517334
El Salvador,2022,93.8,100.0,100.0,100.0,1109.9754646221,41.254651042229,2806629.0,18.683862686157212,46.1100006103516,52.2000007629395,23.5008087158203,26.257417678833,60.8300018310547,67.5999984741211,17.596501111984267
El Salvador,2023,51.9,98.3,96.6,99.4,917.682994355652,41.4810072960322,2854017.0,7.38000011444092,46.439998626709,52.75,13.784299135208125,15.232646703720091,61.2799987792969,68.6800003051758,7.17999982833862
Estonia,2021,100.0,100.0,100.0,100.0,6644.21623343642,48.7800056882821,703200.0,26.1854763031006,98.7935333251953,99.1004333496094,55.4591331481934,38.1158103942871,99.8661193847656,99.7669143676758,36.5166091918945
Estonia,2022,100.0,100.0,100.0,100.0,6464.07283295276,49.2223042303986,735699.0,26.5803070068359,98.7294769287109,98.6773529052734,57.6844253540039,39.1564102172852,99.9087219238281,99.8532104492188,37.9452514648438
Estonia,2023,54.05,100.0,100.0,100.0,5749.16477290142,49.5386635672625,755414.0,11.109017133712795,45.08516883850095,51.81906509399415,18.743927478790283,21.2688384056091,80.6897888183594,86.32179641723636,9.666329383850076
Fiji,2021,54.0,92.1,86.8,96.0,2955.5365363178053,34.1278206295214,375714.0,10.7870397567749,66.0850296020508,61.269401550293,6.318285703659075,8.5139398574829,91.4405822753906,90.9204788208008,9.27676963806152
Fiji,2022,56.1,92.0,86.8,97.6,2955.5365363178053,34.1377104871349,381496.0,11.30118799209595,56.5073585510254,56.6772575378418,6.318285703659075,8.5139398574829,73.2227020263672,75.991886138916,9.24321126937866
Fiji,2023,99.85,99.3,98.3,100.0,2955.5365363178053,34.1776130374588,384983.0,11.30118799209595,56.5073585510254,56.6772575378418,6.318285703659075,8.5139398574829,73.2227020263672,75.991886138916,9.24321126937866
Finland,2021,100.0,100.0,100.0,100.0,15646.5861772306,47.6190425169066,2799945.0,25.5287227630615,89.533576965332,89.6693954467773,43.3006172180176,34.1927490234375,99.9518203735352,99.9171981811523,30.7561550140381
Finland,2022,100.0,100.0,100.0,100.0,14749.7185978813,48.2149419948379,2846126.0,26.3623390197754,91.5996780395508,91.6049041748047,43.7371673583984,35.049503326416,99.9628982543945,99.9635696411133,31.1477546691895
Finland,2023,100.0,100.0,100.0,100.0,14352.4852025758,48.5290609440681,2863035.0,20.1813769340515,90.28678894042966,92.34469604492185,31.88530826568605,26.37637424468995,99.35591125488284,99.5335998535156,23.2266778945923
France,2021,100.0,100.0,100.0,100.0,6942.44523564921,48.4182420961172,31181921.0,22.7441635131836,89.2709808349609,92.3115081787109,37.3554992675781,34.4482879638672,100.0,100.0,23.1135864257812
France,2022,100.0,100.0,100.0,100.0,6677.39513463708,48.3939653638397,31537676.0,22.3946876525879,85.4513473510742,89.4875183105469,36.3566551208496,33.8793907165527,95.3553695678711,96.8025894165039,22.7038650512695
France,2023,100.0,100.0,100.0,100.0,6456.64409937944,48.5065304788837,31618891.0,23.9088401794434,90.5102844238281,92.8295288085938,39.0496368408203,35.6301803588867,100.0,100.0,24.7607326507568
Georgia,2021,90.9,100.0,100.0,99.9,3604.85464904641,47.7425465749264,1774721.0,33.4094123840332,98.0827102661133,98.7290191650391,55.4708709716797,48.9546508789062,99.4456024169922,99.5731201171875,34.8414726257324
Georgia,2022,92.2,100.0,100.0,100.0,3682.96097887624,47.7040839846388,1843861.0,32.8199996948242,98.2200012207031,98.6900024414062,57.9300003051758,49.4500007629395,99.2300033569336,99.5,35.0099983215332
Georgia,2023,100.0,100.0,100.0,100.0,3782.66750285223,47.7394296064502,1850617.0,33.1935043334961,98.2348785400391,98.7013473510742,57.8974723815918,48.8034286499023,99.3691177368164,99.6016082763672,35.6545333862305
Germany,2021,100.0,100.0,100.0,100.0,6582.54587433797,46.4180323865489,43283278.0,33.4534606933594,93.1566390991211,93.9384689331055,37.3850593566895,41.559196472168,98.6864624023438,99.3337097167969,24.8310642242432
Germany,2022,100.0,100.0,100.0,100.0,6285.24659632329,46.4924273526033,43953915.0,33.3114166259766,93.5915908813477,94.3460388183594,38.3714904785156,42.1183280944824,98.6710815429688,99.3392486572266,25.3061943054199
Germany,2023,100.0,100.0,100.0,100.0,6045.29298751201,46.551906407095,43815458.0,33.382438659668,93.3741149902344,94.14225387573245,37.87827491760255,41.838762283325195,98.6787719726563,99.33647918701175,25.06862926483155
Greece,2021,100.0,100.0,100.0,100.0,4997.1582541623,44.7207604950818,4573547.0,29.085132598877,72.2298202514648,79.2744293212891,36.1804122924805,36.448543548584,95.9393463134766,97.9271926879883,27.3331069946289
Greece,2022,100.0,100.0,100.0,100.0,4827.78285698736,44.5980913157269,4659964.0,29.5211448669434,73.8031158447266,80.3933029174805,36.8578643798828,36.2710723876953,96.4578399658203,98.248046875,28.3811092376709
Greece,2023,94.05,100.0,100.0,100.0,4534.19835572963,44.8472025218397,4660090.0,21.24059104919435,60.115859985351605,66.61289596557614,26.939391136169448,23.66519165039065,82.13695526123045,88.89608383178711,28.59047985076905
Guatemala,2021,45.0,97.9,98.1,97.6,784.094234500942,33.1894370163203,6800730.0,32.4850654602051,32.9715232849121,29.3028564453125,33.497759819030804,33.9038848876953,48.5837097167969,58.5747566223145,35.311605453491204
Guatemala,2022,46.2,99.1,98.1,97.7,669.883594558613,34.2589418462758,7234412.0,6.92779016494751,30.2276496887207,36.698558807373,23.461957931518548,15.911696434020978,47.637321472168,58.9688415527344,4.68416023254395
Guatemala,2023,36.3,100.0,100.0,100.0,187.2544861520405,34.1923810732606,7406030.0,4.51509618759155,29.9344348907471,35.8862380981445,13.532299518585205,10.715231895446795,48.1771545410156,58.0505142211914,3.83277344703674
Honduras,2021,49.4,94.1,85.7,100.0,780.475801605792,39.6571539326702,4395792.0,17.168292760848995,57.623354911804206,34.892276763916,4.17710208892822,4.37380313873291,61.932975769043,61.4457244873047,22.52655279636383
Honduras,2022,50.1,94.4,86.8,100.0,757.081126374635,37.9880179599849,4588868.0,18.683862686157212,37.9296455383301,34.2619361877441,4.42104053497314,4.17713403701782,64.4768600463867,63.3841171264648,17.596501111984267
Honduras,2023,70.5,95.6,88.8,100.0,917.682994355652,34.5981278822418,4213517.0,6.77588510513306,30.0116138458252,28.6234855651855,4.06778955459595,4.20787572860718,62.0503273010254,60.5854263305664,5.208324909210205
Hungary,2021,100.0,100.0,100.0,100.0,4719.10549768272,46.4925550424846,4912251.0,23.6860294342041,98.0978240966797,98.9972076416016,33.3396110534668,30.0965156555176,99.5860061645508,99.6969757080078,27.7006206512451
Hungary,2022,100.0,100.0,100.0,100.0,4680.96591412799,46.6359875339445,4938210.0,23.9416580200195,98.2849807739258,99.1145858764648,32.8752708435059,29.9732608795166,99.6695404052734,99.7351455688477,28.0614147186279
Hungary,2023,100.0,100.0,100.0,100.0,4601.66222798432,46.8412470850527,4967071.0,29.3031387329102,73.0164680480957,79.8338661193848,36.51913833618165,36.35980796813965,96.19859313964845,98.08761978149414,27.8571081161499
