Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Fiji,FJI,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Finland,FIN,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
France,FRA,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Georgia,GEO,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Greece,GRC,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Guatemala,GTM,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Honduras,HND,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,0,0,0,0,0,..,..,..,..,..,..,..
Hungary,HUN,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Indonesia,IDN,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Ireland,IRL,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Italy,ITA,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,KAZ,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Kenya,KEN,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,0,..,..,..,0,..,..,..,..
Kosovo,XKX,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Kyrgyz Republic,KGZ,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Latvia,LVA,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Lebanon,LBN,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Lesotho,LSO,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Luxembourg,LUX,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,MDG,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Malawi,MWI,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Malaysia,MYS,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Maldives,MDV,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Malta,MLT,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Mauritius,MUS,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Mexico,MEX,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Moldova,MDA,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Morocco,MAR,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Netherlands,NLD,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Nicaragua,NIC,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Nigeria,NGA,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
Papua New Guinea,PNG,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP",DP.DOD.DLCD.CR.NF.Z1,..,..,..,..,..,..,..,..,..,..,..,..
